Timestamp,BMP280 Pressure (hPa),AHT10 Temperature (°C),AHT10 Humidity (%)
2024-06-22 16:03:47,,,
2024-06-22 16:03:52,852.09,21.82,79.73
2024-06-22 16:03:57,852.06,21.80,79.73
2024-06-22 16:04:02,852.06,21.78,79.74
2024-06-22 16:04:07,852.03,21.76,79.74
2024-06-22 16:04:12,852.06,21.74,79.81
2024-06-22 16:04:17,852.05,21.72,79.90
2024-06-22 16:04:22,852.05,21.72,79.90
2024-06-22 16:04:27,852.05,21.72,79.90
2024-06-22 16:04:32,852.05,21.72,79.90
2024-06-22 16:04:37,852.05,21.72,79.90
2024-06-22 16:04:42,852.05,21.72,79.90
2024-06-22 16:04:47,852.05,21.72,79.90
2024-06-22 16:04:52,852.05,21.72,79.90
2024-06-22 16:04:57,852.05,21.72,79.90
2024-06-22 16:05:02,852.05,21.72,79.90
2024-06-22 16:05:07,852.05,21.72,79.90
2024-06-22 16:05:12,852.05,21.72,79.90
2024-06-22 16:05:17,852.05,21.72,79.90
2024-06-22 16:05:22,852.05,21.72,79.90
2024-06-22 16:05:27,852.05,21.72,79.90
2024-06-22 16:05:32,852.05,21.72,79.90
2024-06-22 16:05:37,852.05,21.72,79.90
2024-06-22 16:05:42,852.05,21.72,79.90
2024-06-22 16:05:47,852.05,21.72,79.90
2024-06-22 16:05:52,852.05,21.72,79.90
2024-06-22 16:05:57,852.05,21.72,79.90
2024-06-22 16:06:02,852.05,21.72,79.90
2024-06-22 16:06:07,852.05,21.72,79.90
2024-06-22 16:06:12,852.05,21.72,79.90
2024-06-22 16:06:17,852.05,21.72,79.90
2024-06-22 16:06:22,852.05,21.72,79.90
2024-06-22 16:06:27,852.05,21.72,79.90
2024-06-22 16:06:32,852.05,21.72,79.90
2024-06-22 16:06:37,852.05,21.72,79.90
2024-06-22 16:06:42,852.05,21.72,79.90
2024-06-22 16:06:47,852.05,21.72,79.90
2024-06-22 16:06:52,852.05,21.72,79.90
2024-06-22 16:06:57,852.05,21.72,79.90
2024-06-22 16:07:02,852.05,21.72,79.90
2024-06-22 16:07:07,852.05,21.72,79.90
2024-06-22 16:07:12,852.05,21.72,79.90
2024-06-22 16:07:17,852.05,21.72,79.90
2024-06-22 16:07:22,852.05,21.72,79.90
2024-06-22 16:07:27,852.05,21.72,79.90
2024-06-22 16:07:32,852.05,21.72,79.90
2024-06-22 16:07:37,852.05,21.72,79.90
2024-06-22 16:07:42,852.05,21.72,79.90
2024-06-22 16:07:47,852.05,21.72,79.90
2024-06-22 16:07:52,852.05,21.72,79.90
2024-06-22 16:07:57,852.05,21.72,79.90
2024-06-22 16:08:02,852.05,21.72,79.90
2024-06-22 16:08:07,852.05,21.72,79.90
2024-06-22 16:08:12,852.05,21.72,79.90
2024-06-22 16:08:17,852.05,21.72,79.90
2024-06-22 16:08:22,852.05,21.72,79.90
2024-06-22 16:08:27,852.05,21.72,79.90
2024-06-22 16:08:32,852.05,21.72,79.90
2024-06-22 16:08:37,852.05,21.72,79.90
2024-06-22 16:08:42,852.05,21.72,79.90
2024-06-22 16:08:47,852.05,21.72,79.90
2024-06-22 16:08:52,852.05,21.72,79.90
2024-06-22 16:08:57,852.05,21.72,79.90
2024-06-22 16:09:02,852.05,21.72,79.90
2024-06-22 16:09:07,852.05,21.72,79.90
2024-06-22 16:09:12,852.05,21.72,79.90
2024-06-22 16:09:17,852.05,21.72,79.90
2024-06-22 16:09:22,852.05,21.72,79.90
2024-06-22 16:09:27,852.05,21.72,79.90
2024-06-22 16:09:32,852.05,21.72,79.90
2024-06-22 16:09:37,852.05,21.72,79.90
2024-06-22 16:09:42,852.05,21.72,79.90
2024-06-22 16:09:47,852.05,21.72,79.90
2024-06-22 16:09:52,852.05,21.72,79.90
2024-06-22 16:09:57,852.05,21.72,79.90
2024-06-22 16:10:02,852.05,21.72,79.90
2024-06-22 16:10:07,852.05,21.72,79.90
2024-06-22 16:10:12,852.05,21.72,79.90
2024-06-22 16:10:17,852.05,21.72,79.90
2024-06-22 16:10:22,852.05,21.72,79.90
2024-06-22 16:10:27,852.05,21.72,79.90
2024-06-22 16:10:32,852.05,21.72,79.90
2024-06-22 16:10:37,852.05,21.72,79.90
2024-06-22 16:10:42,852.05,21.72,79.90
2024-06-22 16:10:47,852.05,21.72,79.90
2024-06-22 16:10:52,852.05,21.72,79.90
2024-06-22 16:10:57,852.05,21.72,79.90
2024-06-22 16:11:02,852.05,21.72,79.90
2024-06-22 16:11:07,852.05,21.72,79.90
2024-06-22 16:11:12,852.05,21.72,79.90
